nome_produto;valor;data_venda
Luminária Smart LED;81.13;2025-08-06 09:23:13
Teclado Mecânico RGB;;2025-09-02
Placa de Vídeo RTX 4080;;2025-08-07 15:52:27
Smartphone X;2332.33;2025-09-05 10:47:25
Licença Software Pro;1643.68;2025-07-29 00:07:41
SSD 1TB Ultra;640.77;2025-07-27 10:19:17
mouse sem fio ergonomico;128.81;2025-07-15 08:33:45
Tablet Lite;INVÁLIDO;2025-07-22 00:09:58
Pendrive USB 3.0 128GB;75.78;2025-07-18
Caixa de Som Bluetooth Premium;285.23;2025-09-21 17:37:54
webcam full hd;99999.99;2025-07-30 04:59:38
Roteador Mesh Dual-Band;550.61;2025-09-13 04:51:25
Tablet Lite;;2025-09-01 18:11:12
Pendrive USB 3.0 128GB;72.59;2025-08-19 00:50:26
Tablet Lite;963.19;2025-09-30
Placa de Vídeo RTX 4080;7542.44;2025-07-20 04:28:32
Câmera DSLR Z10;3843.11;2025-08-25 07:14:05
ssd 1tb ultra;626.5;2025-07-11 10:30:03
Fone de Ouvido Max;477.48;2025-09-20 18:29:57
Luminária Smart LED;0.0;
